player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,player_id,season
Mark Acres,C,27.0,ORL,80,1691,8.3,0.536,0.014,0.421,9.3,17.8,13.4,5.0,1.0,0.8,17.2,9.4,1.1,0.6,1.6,0.047,-3.1,-0.6,-3.7,-0.7,acresma01,1990
Michael Adams,PG,27.0,DEN,79,2690,15.4,0.542,0.437,0.317,1.8,7.3,4.4,23.3,2.0,0.1,11.1,18.5,4.4,2.5,6.9,0.124,1.8,-0.1,1.8,2.6,adamsmi01,1990
Mark Aguirre,SF,30.0,DET,78,2005,15.8,0.544,0.104,0.283,6.7,10.6,8.7,11.6,0.9,0.6,10.7,24.3,3.1,2.5,5.7,0.136,1.0,0.0,1.0,1.5,aguirma01,1990
Danny Ainge,PG,30.0,SAC,75,2727,16.1,0.528,0.25,0.231,2.9,10.6,6.8,25.5,2.1,0.4,12.7,23.0,2.7,2.1,4.8,0.085,1.2,-0.1,1.1,2.1,aingeda01,1990
Mark Alarie,PF,26.0,WSB,82,1893,14.1,0.51,0.062,0.169,8.5,12.8,10.7,10.5,1.5,1.2,10.7,20.4,1.5,1.6,3.1,0.079,-0.6,-0.7,-1.3,0.3,alarima01,1990
Steve Alford,PG,25.0,DAL,41,302,18.7,0.544,0.159,0.268,0.8,8.5,4.7,21.2,2.5,0.6,9.4,24.7,0.6,0.3,0.9,0.144,1.2,0.4,1.6,0.3,alforst01,1990
Randy Allen,SG,25.0,SAC,63,746,8.4,0.456,0.029,0.18,7.5,13.4,10.5,4.4,1.1,1.5,9.8,16.5,-0.3,0.6,0.2,0.014,-4.2,-0.9,-5.2,-0.6,allenra01,1990
Greg Anderson,PF,25.0,MIL,60,1291,13.0,0.522,0.0,0.394,9.8,23.6,16.6,2.7,1.2,2.6,13.6,19.1,0.2,1.7,2.0,0.073,-2.8,-0.9,-3.8,-0.6,andergr01,1990
Nick Anderson,SG,22.0,ORL,81,1785,14.9,0.536,0.023,0.351,6.1,12.7,9.3,10.5,1.8,1.0,13.7,22.1,1.2,0.7,1.8,0.049,0.0,-1.0,-1.0,0.5,anderni01,1990
Richard Anderson,PF,29.0,CHH,54,604,13.3,0.522,0.474,0.109,5.9,18.8,11.9,13.4,1.6,0.9,10.5,17.4,0.4,0.5,1.0,0.077,0.6,0.2,0.7,0.4,anderri01,1990
Ron Anderson,SF,31.0,PHI,78,2089,13.9,0.499,0.025,0.234,4.4,11.5,8.0,10.0,1.7,0.4,7.8,20.4,2.0,1.7,3.8,0.086,-0.8,-0.5,-1.4,0.3,anderro01,1990
Willie Anderson,SG,23.0,SAS,82,2788,15.2,0.532,0.024,0.268,4.8,10.1,7.5,19.6,1.9,1.3,14.1,20.9,2.8,3.7,6.5,0.111,0.5,0.9,1.3,2.4,anderwi01,1990
Michael Ansley,SF,22.0,ORL,72,1221,17.3,0.554,0.0,0.488,15.7,15.6,15.6,4.8,0.9,0.8,8.1,19.7,3.0,0.3,3.3,0.129,1.2,-2.5,-1.3,0.2,anslemi01,1990
B.J. Armstrong,PG,22.0,CHI,81,1291,11.9,0.53,0.015,0.199,1.7,7.6,4.7,20.7,1.8,0.3,16.3,16.9,1.0,0.8,1.7,0.064,-1.7,-1.1,-2.8,-0.3,armstbj01,1990
John Bagley,PG,29.0,BOS,54,1095,10.8,0.489,0.083,0.179,2.8,6.0,4.5,33.3,1.8,0.2,27.7,12.5,0.3,0.8,1.1,0.047,-1.0,-0.6,-1.6,0.1,baglejo01,1990
Thurl Bailey,SF,28.0,UTA,82,2583,13.4,0.527,0.008,0.292,5.6,12.5,9.3,8.1,0.6,2.4,11.2,21.0,1.7,2.8,4.6,0.085,-0.6,-0.6,-1.2,0.5,baileth01,1990
Ken Bannister,PF,29.0,LAC,52,589,7.6,0.492,0.006,0.683,7.7,14.0,10.9,4.3,1.4,0.7,17.4,18.0,-0.5,0.5,0.1,0.005,-4.8,-1.1,-5.9,-0.6,bannike01,1990
Charles Barkley*,SF,26.0,PHI,79,3085,27.1,0.661,0.078,0.632,13.4,20.0,16.7,15.6,2.4,1.0,13.9,24.0,13.1,4.2,17.3,0.269,7.2,1.0,8.2,8.0,barklch01,1990
Dana Barros,PG,22.0,SEA,81,1630,12.8,0.497,0.322,0.149,2.4,7.3,4.7,18.3,1.6,0.0,13.5,23.3,1.1,0.7,1.8,0.053,0.8,-1.4,-0.6,0.6,barroda01,1990
John Battle,SG,27.0,ATL,60,1477,12.6,0.542,0.024,0.248,2.1,5.8,3.9,15.3,0.9,0.1,12.9,19.7,1.7,0.0,1.7,0.055,-0.8,-2.3,-3.1,-0.4,battljo01,1990
Kenny Battle,SG,25.0,PHO,59,729,12.2,0.587,0.024,0.482,7.1,11.3,9.3,6.8,2.3,0.9,13.4,13.5,1.0,1.0,1.9,0.127,-1.2,1.2,0.0,0.4,battlke01,1990
William Bedford,C,26.0,DET,42,246,9.5,0.438,0.048,0.176,7.0,19.8,13.4,2.6,0.6,4.4,13.5,27.2,-0.5,0.5,-0.1,-0.016,-6.6,0.2,-6.4,-0.3,bedfowi01,1990
Benoit Benjamin,C,25.0,LAC,71,2313,16.7,0.578,0.001,0.467,7.8,24.4,16.2,10.1,1.2,4.8,18.4,18.4,1.7,3.7,5.4,0.113,-0.5,2.1,1.6,2.1,benjabe01,1990
Winston Bennett,SF,24.0,CLE,55,990,10.0,0.515,0.0,0.336,9.4,11.9,10.6,8.1,1.2,0.6,15.9,17.1,0.2,0.9,1.1,0.055,-3.4,-0.8,-4.2,-0.6,bennewi01,1990
Larry Bird*,SF,33.0,BOS,75,2944,21.9,0.546,0.129,0.226,3.6,22.2,13.4,28.9,1.8,1.2,12.7,27.4,5.3,4.1,9.5,0.154,4.1,1.2,5.3,5.5,birdla01,1990
Uwe Blab,C,27.0,TOT,47,531,3.3,0.429,0.0,0.378,6.1,15.2,10.9,5.8,0.1,2.3,23.4,11.3,-0.6,0.2,-0.4,-0.039,-6.4,-1.0,-7.4,-0.7,blabuw01,1990
Rolando Blackman,SG,30.0,DAL,80,2934,17.0,0.552,0.034,0.271,3.5,7.3,5.4,16.3,1.3,0.4,11.0,23.6,4.6,2.2,6.8,0.111,1.6,-0.6,0.9,2.2,blackro01,1990
Mookie Blaylock,PG,22.0,NJN,50,1267,11.5,0.416,0.14,0.142,3.3,8.8,5.9,26.2,3.1,0.7,15.5,22.8,-1.6,1.3,-0.3,-0.011,-2.4,0.4,-2.0,0.0,blaylmo01,1990
Muggsy Bogues,PG,25.0,CHH,81,2743,16.9,0.528,0.039,0.202,1.9,7.0,4.3,44.6,3.0,0.1,16.8,13.5,4.6,2.1,6.7,0.117,1.5,0.7,2.2,2.9,boguemu01,1990
Manute Bol,C,27.0,GSW,75,1310,7.2,0.383,0.284,0.29,2.8,18.8,11.2,3.3,0.4,10.0,21.1,7.4,-1.4,1.4,0.0,0.001,-4.6,3.3,-1.2,0.3,bolma01,1990
Anthony Bowie,SG,26.0,HOU,66,918,8.8,0.448,0.072,0.184,4.2,9.3,6.8,13.9,2.2,0.3,15.7,16.6,-0.6,1.3,0.7,0.037,-3.5,0.9,-2.5,-0.1,bowiean01,1990
Sam Bowie,C,28.0,NJN,68,2207,16.2,0.499,0.037,0.454,9.3,24.9,16.6,6.4,0.8,3.3,11.1,20.5,1.9,2.8,4.7,0.103,-0.7,-0.4,-1.1,0.5,bowiesa01,1990
Adrian Branch,SF,26.0,MIN,11,91,16.9,0.46,0.016,0.361,9.9,16.9,13.2,8.8,3.5,0.0,10.2,38.1,-0.1,0.1,0.0,0.014,-0.9,-1.1,-2.0,0.0,brancad01,1990
Randy Breuer,C,29.0,TOT,81,1879,13.0,0.462,0.001,0.277,9.3,17.4,13.1,8.3,1.2,3.7,10.9,20.3,-0.2,2.2,2.0,0.051,-2.2,-0.1,-2.3,-0.2,breuera01,1990
Frank Brickowski,C,30.0,SAS,78,1438,13.3,0.576,0.005,0.364,7.2,18.1,12.8,10.3,2.2,1.6,17.2,15.6,1.3,2.5,3.8,0.126,-1.7,1.9,0.2,0.8,brickfr01,1990
Scott Brooks,PG,24.0,PHI,72,975,14.2,0.53,0.286,0.207,1.8,5.7,3.7,28.5,2.4,0.0,11.2,14.7,1.9,0.7,2.7,0.131,0.5,0.5,0.9,0.7,brooksc01,1990
Chucky Brown,SF,21.0,CLE,75,1339,11.9,0.525,0.016,0.367,6.9,12.5,9.7,5.7,1.2,1.2,11.7,19.0,0.9,1.3,2.2,0.078,-3.0,-0.6,-3.6,-0.6,brownch01,1990
Mike Brown,C,26.0,UTA,82,1397,12.8,0.593,0.006,0.578,10.0,20.7,15.7,4.7,1.1,1.2,16.9,16.2,1.7,2.0,3.7,0.128,-1.7,-0.2,-1.9,0.1,brownmi01,1990
Raymond Brown,PF,24.0,UTA,16,56,-0.9,0.277,0.0,0.071,22.4,9.8,15.7,10.3,0.0,0.0,17.2,27.2,-0.3,0.0,-0.2,-0.2,-10.8,-6.2,-17.0,-0.2,brownra01,1990
Tony Brown,SF,29.0,MIL,61,635,8.2,0.475,0.097,0.272,6.9,6.1,6.5,9.0,2.5,0.4,18.1,18.6,-0.5,0.5,0.0,0.0,-3.9,-0.5,-4.4,-0.4,brownto01,1990
Stanley Brundy,SF,22.0,NJN,16,128,10.1,0.488,0.0,0.6,11.7,9.8,10.8,3.4,2.3,2.3,13.7,13.8,0.0,0.1,0.2,0.057,-3.6,0.6,-3.1,0.0,brundst01,1990
Mark Bryant,PF,24.0,POR,58,562,9.1,0.48,0.0,0.327,10.3,18.0,14.1,3.0,1.5,1.0,12.5,14.0,0.2,0.9,1.0,0.088,-3.5,0.5,-3.1,-0.2,bryanma01,1990
Torgeir Bryn,C,25.0,LAC,3,10,9.1,0.431,0.0,3.0,0.0,22.6,11.4,0.0,9.7,6.0,17.7,23.6,0.0,0.0,0.0,0.065,-13.3,7.3,-6.0,0.0,brynto01,1990
Steve Bucknall,SG,23.0,LAL,18,75,0.0,0.323,0.03,0.182,7.9,2.9,5.3,17.9,1.3,0.8,23.6,26.6,-0.4,0.0,-0.3,-0.199,-9.7,-3.6,-13.3,-0.2,bucknst01,1990
Greg Butler,C,23.0,NYK,13,33,-4.9,0.233,0.0,0.167,10.4,19.6,15.1,3.9,0.0,0.0,18.9,20.0,-0.2,0.0,-0.1,-0.206,-13.6,-4.7,-18.3,-0.1,butlegr01,1990
Michael Cage,C,28.0,SEA,82,2595,14.5,0.54,0.0,0.329,13.3,24.2,18.6,3.6,1.5,1.1,11.3,13.4,3.9,2.8,6.8,0.125,0.7,-0.7,0.0,1.3,cagemi01,1990
Adrian Caldwell,PF,23.0,HOU,51,331,9.5,0.549,0.0,0.368,11.7,22.9,17.4,2.8,1.6,3.2,26.6,14.8,-0.3,0.7,0.4,0.061,-5.3,1.4,-4.0,-0.2,caldwad01,1990
